Timestamp(ns);Rotation_X(rad);Rotation_Y(rad);Rotation_Z(rad);Position_X(m);Position_Y(m);Position_Z(m);
3995264857647; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995281389004; 0.05; 0.11; 0.03; 0.00; 0.01; -0.00;
3995298002471; 0.06; 0.12; 0.02; 0.00; 0.01; -0.00;
3995314766899; 0.06; 0.12; 0.02; 0.00; 0.01; -0.00;
3995348049427; 0.06; 0.12; 0.02; 0.00; 0.01; -0.00;
3995364760826; 0.07; 0.12; 0.02; 0.00; 0.01; -0.00;
3995381368306; 0.07; 0.12; 0.02; 0.00; 0.01; -0.00;
3995398009997; 0.07; 0.12; 0.02; 0.00; 0.01; -0.00;
3995448015044; 0.08; 0.12; 0.02; 0.00; 0.02; -0.00;
3995464646899; 0.08; 0.12; 0.02; 0.00; 0.02; -0.00;
3995498027788; 0.09; 0.12; 0.02; 0.00; 0.02; -0.00;
3995514636550; 0.09; 0.13; 0.01; 0.00; 0.02; -0.00;
3995531426638; 0.10; 0.13; 0.01; 0.00; 0.01; -0.00;
3995548031551; 0.10; 0.13; 0.01; 0.00; 0.01; -0.00;
3995564592844; 0.11; 0.14; 0.00; 0.00; 0.01; -0.00;
3995581243944; 0.11; 0.14; -0.00; 0.00; 0.01; -0.00;
3995597988273; 0.11; 0.14; -0.01; 0.00; 0.01; -0.00;
3995631247707; 0.13; 0.15; -0.01; 0.00; 0.01; -0.00;
3995647989042; 0.13; 0.15; -0.02; 0.00; 0.01; -0.00;
3995664616622; 0.14; 0.15; -0.02; 0.00; 0.01; -0.00;
3995681299796; 0.15; 0.16; -0.02; 0.00; 0.01; -0.00;
3995697871352; 0.15; 0.16; -0.02; 0.00; 0.01; -0.00;
3995714608411; 0.16; 0.16; -0.02; 0.00; 0.01; -0.00;
3995731652096; 0.16; 0.16; -0.02; 0.00; 0.01; -0.00;
3995764586515; 0.17; 0.17; -0.02; 0.00; 0.01; -0.00;
3995781263702; 0.17; 0.17; -0.02; 0.00; 0.01; -0.00;
3995797984509; 0.17; 0.17; -0.02; 0.00; 0.01; -0.00;
3995814534256; 0.17; 0.17; -0.02; 0.00; 0.02; -0.00;
3995831262761; 0.18; 0.17; -0.02; 0.00; 0.02; -0.00;
3995847854417; 0.19; 0.17; -0.02; 0.00; 0.02; -0.00;
3995881273367; 0.20; 0.16; -0.02; 0.01; 0.02; 0.00;
3995897924894; 0.21; 0.16; -0.01; 0.01; 0.02; 0.00;
3995914505004; 0.21; 0.16; -0.01; 0.01; 0.02; 0.00;
3995931273709; 0.22; 0.17; -0.01; 0.01; 0.02; 0.00;
3995947854674; 0.23; 0.17; -0.01; 0.01; 0.02; 0.00;
3995964413828; 0.24; 0.17; -0.01; 0.01; 0.02; 0.00;
3995997852022; 0.26; 0.17; 0.00; 0.01; 0.02; 0.00;
3996014517235; 0.26; 0.17; 0.00; 0.01; 0.02; 0.01;
3996031109747; 0.27; 0.17; 0.01; 0.01; 0.02; 0.01;
3996047872892; 0.28; 0.17; 0.01; 0.01; 0.02; 0.01;
3996064496622; 0.28; 0.18; 0.01; 0.01; 0.03; 0.01;
3996081098114; 0.29; 0.18; 0.01; 0.01; 0.03; 0.01;
3996114509794; 0.31; 0.19; 0.01; 0.01; 0.03; 0.01;
